FirstName,LastName,Name,Description,OU,Password,Department,Title,Company
Mason,King,mking,Business Intelligence (BI) Developer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword136,IT,Business Intelligence (BI) Developer,CJ Sec Solutions
Ava,Wright,awright,Cybersecurity Analyst,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword137,IT,Cybersecurity Analyst,CJ Sec Solutions
Ethan,Scott,escott,Security Engineer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword138,IT,Security Engineer,CJ Sec Solutions
Isabella,Green,igreen,Security Architect,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword139,IT,Security Architect,CJ Sec Solutions
Logan,Adams,ladams,SOC Analyst (Security Operations Center),"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword140,IT,SOC Analyst (Security Operations Center),CJ Sec Solutions
Mia,Baker,mbaker,Penetration Tester (Ethical Hacker),"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword141,IT,Penetration Tester (Ethical Hacker),CJ Sec Solutions
Lucas,Nelson,lnelson,Incident Response Specialist,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword142,IT,Incident Response Specialist,CJ Sec Solutions
Amelia,Carter,acarter,Identity and Access Management (IAM) Specialist,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword143,IT,Identity and Access Management (IAM) Specialist,CJ Sec Solutions
Jackson,Mitchell,jmitchell,Software Developer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword144,IT,Software Developer,CJ Sec Solutions
Harper,Perez,hperez,Backend Developer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword145,IT,Backend Developer,CJ Sec Solutions
Elijah,Roberts,eroberts,Frontend Developer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword146,IT,Frontend Developer,CJ Sec Solutions
Chloe,Turner,cturner,Full-Stack Developer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword147,IT,Full-Stack Developer,CJ Sec Solutions
Benjamin,Phillips,bphillips,Mobile App Developer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword148,IT,Mobile App Developer,CJ Sec Solutions
Lily,Campbell,lcampbell,QA Engineer / Test Analyst,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword149,IT,QA Engineer / Test Analyst,CJ Sec Solutions
Matthew,Parker,mparker,Automation Test Engineer,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword150,IT,Automation Test Engineer,CJ Sec Solutions
Charlotte,Evans,cevans,IT Project Manager,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword151,IT,IT Project Manager,CJ Sec Solutions
James,Edwards,jedwards,IT Business Analyst,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword152,IT,IT Business Analyst,CJ Sec Solutions
Zoe,Collins,zcollins,Enterprise Architect,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword153,IT,Enterprise Architect,CJ Sec Solutions
William,Stewart,wstewart,IT Manager,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword154,IT,IT Manager,CJ Sec Solutions
Hannah,Morris,hmorris,Service Desk Analyst,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword155,IT,Service Desk Analyst,CJ Sec Solutions
Alexander,Rogers,arogers,Service Desk Analyst,"OU=IT,OU=National Office,OU=Victoria,OU=Users,OU=Australia,DC=cjgroup,DC=local",P@ssword156,IT,Service Desk Analyst,CJ Sec Solutions
